Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of Program,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2007,KBBC-TV,N/A,Los Angeles,5,Analog,Super Book; Spanish Lang,Core,SYNDICATED,M-F 7:30AM AND SAT 7AM,65,2,30,3,5,Super Book is a program specially designed for children under the ages of 16. It airs during core hours and tecahes children moral values with stories.,0,N/A,N/A,N/A
2007,KBBC-TV,N/A,Los Angeles,5,Analog,Flying House,Core,SYNDICATED,Sundays 7am-7:30am,11,0,30,3,10,Flying House is an educational series designed for children ages 3-10. It has been uniquely produced to provided entertainment and education for the entire family by using intriguing characters that teach moral values with stories.,99,N/A,N/A,N/A
2007,KBEH,MTV Tr3s,Los Angeles,4,Analog,Doug,Core,SYNDICATED,"Mon, Tues, Sun / 7:00 AM",40,0,30,2,15,"11-1/2 year-old Douglas Yancey Funnie and his family (Phil, Theda and sister, Judy) moved from their former residence in Bloatsburg, to the new town of Bluffington. He meets Skeeter, Patti, Roger and Beebe where his new life begins. Doug writes in his journal and sometimes imagines himself as a superhero named Quailman to help him with situations and decisions. Doug's experiences show children of all ages how to think logically and make good moral decisions while being courteous to everyone he comes in contact with.",99,N/A,4,Y
2007,KBEH,MTV Tr3s,Los Angeles,4,Analog,Doug,Core,SYNDICATED,Mon thru Thur / 7:30 AM,53,0,30,2,15,"11-1/2 year-old Douglas Yancey Funnie and his family (Phil, Theda and sister, Judy) moved from their former residence in Bloatsburg, to the new town of Bluffington. He meets Skeeter, Patti, Roger and Beebe where his new life begins. Doug writes in his journal and sometimes imagines himself as a superhero named Quailman to help him with situations and decisions. Doug's experiences show children of all ages how to think logically and make good moral decisions while being courteous to everyone he comes in contact with.",99,N/A,4,Y
2007,KBEH,MTV Tr3s,Los Angeles,4,Analog,Doug,Core,SYNDICATED,Fri / 7:30 AM,4,0,30,2,15,"11-1/2 year-old Douglas Yancey Funnie and his family (Phil, Theda and sister, Judy) moved from their former residence in Bloatsburg, to the new town of Bluffington. He meets Skeeter, Patti, Roger and Beebe where his new life begins. Doug writes in his journal and sometimes imagines himself as a superhero named Quailman to help him with situations and decisions. Doug's experiences show children of all ages how to think logically and make good moral decisions while being courteous to everyone he comes in contact with.",99,N/A,4,Y
2007,KBEH,MTV Tr3s,Los Angeles,4,Analog,Gullah Gullah Island,Core,SYNDICATED,Fri / 7:30 AM,9,0,30,3,7,"A family on Gullah Gullah Island demonstrates curriculum-based & social learning through storyline arcs involving pets, responsibility and friendships.",99,N/A,4,Y
2007,KBEH,MTV Tr3s,Los Angeles,4,Digital,Doug,Core,SYNDICATED,"Mon, Tues, Sun / 7:00 AM",40,0,30,2,15,"11-1/2 year-old Douglas Yancey Funnie and his family (Phil, Theda and sister, Judy) moved from their former residence in Bloatsburg, to the new town of Bluffington. He meets Skeeter, Patti, Roger and Beebe where his new life begins. Doug writes in his journal and sometimes imagines himself as a superhero named Quailman to help him with situations and decisions. Doug's experiences show children of all ages how to think logically and make good moral decisions while being courteous to everyone he comes in contact with.",99,N/A,4,Y
2007,KBEH,MTV Tr3s,Los Angeles,4,Digital,Doug,Core,SYNDICATED,Mon thru Fri / 7:30 AM,65,0,30,2,15,"11-1/2 year-old Douglas Yancey Funnie and his family (Phil, Theda and sister, Judy) moved from their former residence in Bloatsburg, to the new town of Bluffington. He meets Skeeter, Patti, Roger and Beebe where his new life begins. Doug writes in his journal and sometimes imagines himself as a superhero named Quailman to help him with situations and decisions. Doug's experiences show children of all ages how to think logically and make good moral decisions while being courteous to everyone he comes in contact with.",99,N/A,4,Y
2007,KBEH,MTV Tr3s,Los Angeles,4,Digital,Doug,Core,SYNDICATED,Fri / 7:30 AM,4,0,30,2,15,"11-1/2 year-old Douglas Yancey Funnie and his family (Phil, Theda and sister, Judy) moved from their former residence in Bloatsburg, to the new town of Bluffington. He meets Skeeter, Patti, Roger and Beebe where his new life begins. Doug writes in his journal and sometimes imagines himself as a superhero named Quailman to help him with situations and decisions. Doug's experiences show children of all ages how to think logically and make good moral decisions while being courteous to everyone he comes in contact with.",99,N/A,4,Y
2007,KBEH,MTV Tr3s,Los Angeles,4,Digital,Gullah Gullah Island,Core,SYNDICATED,Fri / 7:30 AM,9,0,30,3,7,"A family on Gullah Gullah Island demonstrates curriculum-based & social learning through storyline arcs involving pets, responsibility and friendships.",99,N/A,4,Y
2007,KCAL,N/A,Los Angeles,3,Analog,Jack Hanna Animal Adventures,Core,SYNDICATED,"Monday thru Friday, 7:30a",64,1,30,13,16,Jack Hanna's Animal Adventures is a live action program. In each episode the camera follows Jack as he spends time with nature's creatures across the continents.,1,N/A,N/A,N/A
2007,KCAL,N/A,Los Angeles,3,Analog,Jack Hanna's Into the Wild,Core,SYNDICATED,Saturday 7:30a,13,0,30,9,14,"Into the Wild follows the true-life adventures of Hanna, his family and long-time crew members as they travel the globe in search of the ultimate animal experience.",99,N/A,N/A,N/A
2007,KCBS,CBS,Los Angeles,3,Analog,CARE BEARS: ADVENTURES IN CARE-A-LOT,Core,Network,Saturdays @ 7:00am,13,0,30,5,7,"Care Bears are a group of funny, colorful bears, each with a special way of caring and a belly badge, which unleashes that bear's special caring power. The bears use their caring hearts and their belly badges to help each other and to thwart the evil plots of Grizzle, a bad bear with his own flying lair. Each Care Bears episode is designed to foster children's ""emotional intelligence,"" defined by psychologist Daniel Goleman and other researchers as skill in five areas: knowing one's emotions; managing one's emotions; motivating oneself; recognizing emotions in others; and handling relationships. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Analog,STRAWBERRY SHORTCAKE,Core,Network,Saturdays @ 7:30am,12,1,30,3,6,"In this series, Strawberry Shortcake, a curious, self-confident leader, narrates stories of her and her friends' adventures in the richly-imagined world of Strawberry Land. Using her many positive qualities, Strawberry helps her friends, who share her values but not necessarily her ability to take a broader view, to see beyond their own self-interest. The themes of the stories are designed to have particular relevance for young viewers, focusing on such issues as friendship, fear, self-confidence, sportsmanship, trust and shyness. The pro-social messages flow naturally from the narrative, as the characters experience concrete (positive and negative) consequences of their actions. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",0,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Analog,CAKE,Core,Network,Saturdays @ 8:00am,12,1,30,8,12,"CAKE is a live-action show-within-a-show about a teenage girl by the name of Cake, who, with the help of three friends, produces a cable access show. The series is designed to provide the viewers with two integrated levels of educational and informational experiences. On one level, each episode provides actual instruction regarding specific activities, with hands-on examples related to the design and use of various fabrics, the making of clothes, the crafting of useful home, school, play, and household items, and other forms of creative expression. The other level in the episode provides an opportunity for the viewers to learn about social and emotional themes such as the value of honesty, the importance of personal worth and self-esteem, the meaning of friendship, the value of having a healthy life-style, and other prosocial concepts that are developmentally appropriate for this age-group. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",0,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Analog,HORSELAND,Core,Network,Saturdays @ 8:30am,12,1,30,9,11,"HORSELAND is an animated series about five girls and two boys who live in spectacular countryside that houses a farm called Horseland. Each of these main characters has a special horse whose personality is similar to its owner's. Horseland and its unique approach of integrating the personality of the main characters and animals serve to reinforce prosocial themes. Horseland is also a ""coming of age"" series in which viewers experience and learn from the social interactions, hopes, dreams, and even fears of this group of culturally diverse adolescents. From this background, the experiences of sharing, caring, compromise, friendship, respect, and competition emerge to provide the young viewers with social and emotional guidelines for better understanding many of the life-lessons they need to learn as they grow and develop. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",0,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Analog,SABRINA: THE ANIMATED SERIES,Core,Network,Saturdays @ 9:00am,4,0,30,7,12,"The animated series, ""Sabrina,"" involves the adventures of a modern, early adolescent girl who is part human and part witch. While Sabrina is not your typical girl - she has magical powers that must be kept secret and also under control - the familial, social, peer-group, and school-related issues she experiences all serve as educational and instructional life-lessons for viewers, as they reflect many of the same learning experiences and teenage challenges faced by children today. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Analog,TROLLZ,Core,Network,Saturdays @ 9:30am,4,0,30,8,12,"TROLLZ is an animated series about five teenage girls growing up in a magic and colorful world, who live by the credo B.F.F.I. - Best Friends for Life. The magic in their lives is interwoven into real-world type experiences through which they learn to engage in problem solving, creative thinking, and cooperative strategy skills. The series also provides an opportunity for the five girls to learn how to cope with some of the social and emotional issues of self-esteem relating to physical features and other personal attributes, emerging friendships and peer-group relationships, and other experiences found in Trollzopolis. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Analog,SUSHI PACK,Core,Network,Saturdays @ 9:00am,7,2,30,9,11,"SUSHI PACK is an animated series featuring an unlikely group of superheroes consisting of four small pieces of Sushi, and a tube of mustard. Through an accident involving an irradiation process, these characters are brought to life, and dedicate themselves to fighting crime, injustice, and helping those in need. The themes integrated into the episodes of SUSHI PACK are associated with the teaching of certain positive social behaviors and skills to children. The major educational objectives of the program are to have young viewers learn some important life-lessons related to such traits as loyalty, honesty, and self-confidence, and such behaviors as teamwork problem-solving and cooperation. The program seeks to help children understand that these are every day pro-social attitudes and behaviors that can be modeled and used by them at home and among their friends. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",1,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Analog,DINO SQUAD,Core ,Network,Saturdays @ 9:30am,7,2,30,9,11,"DINO SQUAD is an animated program focusing on a group of five ordinary, but diverse teenagers, who, through an unusual accident, become contaminated with a substance that allows them to morph from humans into various species of dinosaurs. Their science teacher, with full knowledge of their parents and with a few special abilities of her own, becomes their mentor. Her tasks are to help them maneuver through the experiences of the high school years, with its social, emotional, educational, recreational, and teenage angst, and to guide them as they stand up for justice against the forces of evil. Each episode draws on a set of planned educational and informational themes related to specific pro-social concepts, life-lessons, and/or selected groups of facts drawn from a variety of fields of study. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",1,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Digital,CARE BEARS: ADVENTURES IN CARE-A-LOT,Core,Network,Saturdays @ 7:00am,13,0,30,5,7,"Care Bears are a group of funny, colorful bears, each with a special way of caring and a belly badge, which unleashes that bear's special caring power. The bears use their caring hearts and their belly badges to help each other and to thwart the evil plots of Grizzle, a bad bear with his own flying lair. Each Care Bears episode is designed to foster children's ""emotional intelligence,"" defined by psychologist Daniel Goleman and other researchers as skill in five areas: knowing one's emotions; managing one's emotions; motivating oneself; recognizing emotions in others; and handling relationships. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Digital,STRAWBERRY SHORTCAKE,Core,Network,Saturdays @ 7:30am,12,1,30,3,6,"In this series, Strawberry Shortcake, a curious, self-confident leader, narrates stories of her and her friends' adventures in the richly-imagined world of Strawberry Land. Using her many positive qualities, Strawberry helps her friends, who share her values but not necessarily her ability to take a broader view, to see beyond their own self-interest. The themes of the stories are designed to have particular relevance for young viewers, focusing on such issues as friendship, fear, self-confidence, sportsmanship, trust and shyness. The pro-social messages flow naturally from the narrative, as the characters experience concrete (positive and negative) consequences of their actions. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",0,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Digital,CAKE,Core,Network,Saturdays @ 8:00am,12,1,30,8,12,"CAKE is a live-action show-within-a-show about a teenage girl by the name of Cake, who, with the help of three friends, produces a cable access show. The series is designed to provide the viewers with two integrated levels of educational and informational experiences. On one level, each episode provides actual instruction regarding specific activities, with hands-on examples related to the design and use of various fabrics, the making of clothes, the crafting of useful home, school, play, and household items, and other forms of creative expression. The other level in the episode provides an opportunity for the viewers to learn about social and emotional themes such as the value of honesty, the importance of personal worth and self-esteem, the meaning of friendship, the value of having a healthy life-style, and other prosocial concepts that are developmentally appropriate for this age-group. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",0,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Digital,HORSELAND,Core,Network,Saturdays @ 8:30am,12,1,30,9,11,"HORSELAND is an animated series about five girls and two boys who live in spectacular countryside that houses a farm called Horseland. Each of these main characters has a special horse whose personality is similar to its owner's. Horseland and its unique approach of integrating the personality of the main characters and animals serve to reinforce prosocial themes. Horseland is also a ""coming of age"" series in which viewers experience and learn from the social interactions, hopes, dreams, and even fears of this group of culturally diverse adolescents. From this background, the experiences of sharing, caring, compromise, friendship, respect, and competition emerge to provide the young viewers with social and emotional guidelines for better understanding many of the life-lessons they need to learn as they grow and develop. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",0,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Digital,SABRINA: THE ANIMATED SERIES,Core,Network,Saturdays @ 9:00am,4,0,30,7,12,"The animated series, ""Sabrina,"" involves the adventures of a modern, early adolescent girl who is part human and part witch. While Sabrina is not your typical girl - she has magical powers that must be kept secret and also under control - the familial, social, peer-group, and school-related issues she experiences all serve as educational and instructional life-lessons for viewers, as they reflect many of the same learning experiences and teenage challenges faced by children today. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Digital,TROLLZ,Core,Network,Saturdays @ 9:30am,4,0,30,8,12,"TROLLZ is an animated series about five teenage girls growing up in a magic and colorful world, who live by the credo B.F.F.I. - Best Friends for Life. The magic in their lives is interwoven into real-world type experiences through which they learn to engage in problem solving, creative thinking, and cooperative strategy skills. The series also provides an opportunity for the five girls to learn how to cope with some of the social and emotional issues of self-esteem relating to physical features and other personal attributes, emerging friendships and peer-group relationships, and other experiences found in Trollzopolis. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",99,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Digital,SUSHI PACK,Core,Network,Saturdays @ 9:00am,7,2,30,9,11,"SUSHI PACK is an animated series featuring an unlikely group of superheroes consisting of four small pieces of Sushi, and a tube of mustard. Through an accident involving an irradiation process, these characters are brought to life, and dedicate themselves to fighting crime, injustice, and helping those in need. The themes integrated into the episodes of SUSHI PACK are associated with the teaching of certain positive social behaviors and skills to children. The major educational objectives of the program are to have young viewers learn some important life-lessons related to such traits as loyalty, honesty, and self-confidence, and such behaviors as teamwork problem-solving and cooperation. The program seeks to help children understand that these are every day pro-social attitudes and behaviors that can be modeled and used by them at home and among their friends. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",1,N/A,3,Y
2007,KCBS,CBS,Los Angeles,3,Digital,DINO SQUAD,Core,Network,Saturdays @ 9:30am,7,2,30,9,11,"DINO SQUAD is an animated program focusing on a group of five ordinary, but diverse teenagers, who, through an unusual accident, become contaminated with a substance that allows them to morph from humans into various species of dinosaurs. Their science teacher, with full knowledge of their parents and with a few special abilities of her own, becomes their mentor. Her tasks are to help them maneuver through the experiences of the high school years, with its social, emotional, educational, recreational, and teenage angst, and to guide them as they stand up for justice against the forces of evil. Each episode draws on a set of planned educational and informational themes related to specific pro-social concepts, life-lessons, and/or selected groups of facts drawn from a variety of fields of study. This program is specifically designed to further the educational and informational needs of children, has educating and informing children as a significant purpose, and otherwise meets the definition of Core Programming as specified in the Commission's rules.",1,N/A,3,Y
2007,KCOP,MNT,Los Angeles,3,Analog,Safari Tracks,Core,SYNDICATED,Mon & Tue at 7:30am (10/1/07-12/31/07),27,0,30,13,16,"Safari Tracks is a program with content grounded in the natural world and delivered using an approach that, while entertaining to a young audience, highlights the informational and educational aspects of the animal kingdom in the given environment of Africa. There is no question that an audience of young people would gain worthwhile information and concepts delivered with an enlightened attitude toward nature and the environment. Viewers receive topic points that help build the ethical decision-making necessary to becoming a citizen of the planet.",99,N/A,3,Y
2007,KCOP,MNT,Los Angeles,3,Analog,Wild About Animals,Core,SYNDICATED,Wed & Thu at 7:30am (10/1/07-12/31/07),26,0,30,13,16,"Wild About Animals is a weekly half-hour program that serves the educational and informational needs of children 13 - 16 years old with its program content. The objective of the program is to educate and inform children by bringing them the most entertaining and interesting stories about the world's most fascinating animals. Each episode consists of at least four stories designed to teach children about exotic and unique animals from the wild, as well as to educate them further about animals they see every day.",99,N/A,3,Y
2007,KCOP,MNT,Los Angeles,3,Analog,Animal Atlas,Core,SYNDICATED,Fri & Sat at 7:30am (10/1/07-12/31/07),26,0,30,13,16,"Animal Atlas in previous years has maintained a high level of educational value. It has addressed issues appropriate for both general public and the secondary classroom with a presentation that included large numbers of clips, wide ranging photography, fast-paced editing, and a non-condescending vocabulary level. The programs in the latest series of Animal Atlas happily maintain those strengths. It is differentiated from previous years by its sense of humor. Entertaining the viewer with wit and observation augments the educational integrity of its content. The level of humor, like the level of vocabulary, is most suited for middle school (ages 13-16) with applications of topic that could extend into the higher grades. There are sound cues, visual elements, and a general tone that supports the delivery of educational material in a way that is appropriate for entertainment television. The data delivered and the content communicated is absolutely educational in nature and value but done in a way that would hold the attention of the target viewer. While the program is consistently humorous, a middle school teacher could construct textbook test materials that would be applicable to Animal Atlas. Examples of content covered: The determinant classifications of the ape and monkey primate families; the comparison of structure and function of species physiology; the emphasis on the recent scientific replacement classification of smaller apes for lesser apes.",99,N/A,3,Y
2007,KDOC,N/A,Los Angeles,5,Analog,Little House on The Prairie,Core,SYNDICATED,M-F/ 10a-11am,65,1,60,12,16,"Family values, lesson in life, morals, ""the Golden Rule,"" fairness, good vs. bad and good judgement vs. bad judgments.",0,N/A,5,Y
2007,KDOC,N/A,Los Angeles,5,Digital,Little House on The Prairie,Core,SYNDICATED,M-F/ 10a-11am,65,0,60,12,16,"Family values, lesson in life, morals, ""the Golden Rule,"" fairness, good vs. bad and good judgement vs. bad judgments.",99,N/A,5,Y
2007,KFTR-TV,N/A,Los Angeles,3.5,Analog,Patrulla de Sapitos,Core,Network,SU 08:30 AM (10/7/2007-10/28/2007),4,0,30,7,12,"A significant purpose and key educational objective of this half-hour program is to illustrate the importance of discovering oneself and friendship. Eight toadlets who miss the migration to Toad Hollow, a peaceful and protected haven for toads, are lost and stranded in an unknown world, where they have to survive and confront their problems as a team. Through their amazing quest, the toad patrol teach young children many lessons about friendship, trust, caring and sharing, empathy, caution, determination, self-esteem, responsibility, selflessness, sacrifice and respect for others.",99,N/A,3.5,Y
2007,KFTR-TV,N/A,Los Angeles,3.5,Analog,Plaza Sesamo,Core,Network,"SA & SU, 09:00 AM & 09:30 AM",50,2,30,2,7,"A significant purpose and key educational objective of this half-hour program is to teach young children the importance of different cultures and traditions. Children will easily identify with the main characters: Abelardo, Contreras, and Lola. These animated personalities will help children develop a better understanding of the world around them through their stories. Throughout the shows, these characters not only reinforce and expose the Spanish language to native and non-native Spanish speakers, but also teach children valuable lessons that include problem solving, gender equity, symbolic representation, and social interaction. A significant purpose and key educational objective of this half-hour program is to teach young children the importance of different cultures and traditions. Children will easily identify with the main characters: Abelardo, Contreras, and Lola. These animated personalities will help children develop a better understanding of the world around them through their stories. Throughout the shows, these characters not only reinforce and expose the Spanish language to native and non-native Spanish speakers, but also teach children valuable lessons that include problem solving, gender equity, symbolic representation, and social interaction.",2,N/A,3.5,Y
2007,KFTR-TV,N/A,Los Angeles,3.5,Analog,Reino Animal,Core, Network,SU 10:00 & 10:30 AM,24,2,30,13,16,"This half-hour program educates young viewers on the natural habitat of animals in an educational, yet entertaining way. With narrations and interactive segments, the series builds upon natural science concepts, sparking a sense of curiosity in its viewers. The program discussed concepts like the functions of animals in an ecosystem, the elements of animal classification, and life sciences to help teach children about the natural world, while having fun at the same time.",2,N/A,3.5,Y
2007,KFTR-TV,N/A,Los Angeles,3.5,Analog,Toonturama Presenta: La Vida Animal,Core,Network,SU 08:30 AM (11/4/2007-12/31/2007),9,0,30,7,12,"A significant purpose and key educational objective of this program is to present animals, birds, and insects in their natural environments in order to engage the curiosity and developing intelligence of boys and girls. There is a special emphasis on nature, science, the adaptation and survival of species, and the role of species in human planetary welfare. Each episode examines topics of geography, ecology, and the ways in which non-humans, animals, birds, and insects adjust to the complexities of their specific habitats in the various continents and oceans that make up our planet. Using original footage, music, and humor, this series presents information about where animals live, how they build their unique dwellings, the tools they use for foraging, the migrations of animals due to climatic changes, and how they care for and protect their offspring. The main purpose of the series is to educate and inform young children about a variety of species and about how animals and humans are interdependent.",99,N/A,3.5,Y
2007,KHIZ,N/A,Los Angeles,3,Analog,My Bedbugs,Core,SYNDICATED,Monday's at 3:30PM,14,0,30,2,5,"My Bedbugs is a quality children's program that unites education and entertainment. Each episode delivers a collection of songs and playful adventures for young audiences to enjoy and is designed to strengthen developmental skills. The cast of characters include Toofy, Gooby, Woozy, and J. Edgar amongy others. They are visually appealing(cute) and very colorful.",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Analog,Jack Hannas Animal Adventures,Core,SYNDICATED,Tuesday's at 3:30PM,13,0,30,4,12,"Every week ""Jungle Jack"" Hanna takes television viewers around the world, teaching them about animals, nature and ecology.",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Analog,WHADDYADO,Core,SYNDICATED,Wednesday's at 3:30PM,13,0,30,13,16,"WHADDYADO is designed to educate inform, inspire and entertain childern 16 and under(specific target audience is 13 to 16) about the world around them. Each episode is an educational life lesson, based in reality, intended to prepare young people for potential situations that could easily crop up at any time, anywhere.",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Analog,Dog Tales,Core,SYNDICATED,Thursday's at 3:30PM,13,0,30,10,16,"Dog Tales is a show that informs viewers about the various dog breeds, dog safety and care tips. As well as lessons on the responsibility of owning a dog. It showcases various veterinary experts discussing issues that affect canines. The show includes a recommended reading segment on dogs and promotes childrens writing skills which includes essays and art contests",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Analog,Real Life 101,Core,SYNDICATED,Friday's at 3:30PM,13,0,30,12,16,"Real Life 101 is an upbeat series that allows teens to gain a realistic insight into professions that may be of interest to them in the years ahead. From aircraft pilot, banker or marine biologist to travel agent, reporter and chef. A pair of different professions is highlighted in each show.",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Analog,Animal Rescue,Core,SYNDICATED,Tuesday's at 9PM,13,0,30,5,16,"Animal Rescue is a weekly half hour series showcasing the heroic efforts of emergency workers and ordinary people saving animals in trouble. Host Alex Paen and the Animal Rescue cameras travel around the world capturing these dramatic rescue stories. The show teaches children about animal behavior, development and habitat.",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Analog,Profiles In Caring,Non-Core,SYNDICATED,Wednesday's at 6AM,13,-1,30,12,16,"Profiles In Caring is a non-profit program, highlighting the extraordinary volunteer efforts of Americans. Each week an inspirational story is profiled, detailing the many lives changed through hard work, heart and community spirit.",N/A,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Digital,My Bedbugs,Core,SYNDICATED,Monday's at 3:30PM,14,0,30,2,5,"My Bedbugs is a quality childrens program that unites education and entertainment. Each episode delivers a collection of songs and playful adventures for you audiences to enjoy and is designed to strengthen developmental skills. The cast of characters include Toofy, Gooby, Woozy, and J. Edgar among others. They are visually appealing(cute) and very colorful.",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Digital,Jack Hannas Animal Adventures,Core,SYNDICATED,Tuesday's at 3:30PM,13,0,30,4,12,"Every week ""Jungle Jack"" Hanna takes television viewers around the world, teaching them about animals, nature and ecology.",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Digital,WHADDYADO,Core,SYNDICATED,Wednesday's at 3:30PM,13,0,30,13,16,"WHADDYADO is designed to educate, inform, inspire and entertain children 16 and under(specific target audience is 13 to 16) about the world around them. Each episode is an educational life lesson, based in reality, intended to prepare young people for potential situations that could easily crop up at any time, anywhere.",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Digital,Dog Tales,Core,SYNDICATED,Thursday's at 3:30PM,13,0,30,10,16,"Dog Tales is a show that informs viewers about the various dog breeds, dog safety and care tips. As well as lessons on the responsibility owning a dog. It showcases various veterinary experts discussing issues that affect canines. The show includes a recommended reading segment on dogs and promotes childrens writing skills which includes essays and art contests.",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Digital,Real Life 101,Core,SYNDICATED,Friday's at 3:30PM,13,0,30,13,16,"Real Life 101 is an upbeat series that allows teens to gain a realistic insight into professions that may be of interest to them in the years ahead. From aircraft pilot, banker or marine biologist, to travel agent, reporter and chef. A pair of different professions is highlighted in each show.",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Digital,Animal Rescue,Core,SYNDICATED,Tuesday's at 9PM,13,0,30,5,16,"Animal Rescue is a weekly half hour series showcasing the heroic efforts of emergency workers and ordinary people saving animals in trouble. Host Alex Paen and the Animal Rescue cameras travel around the world capturing these dramatic rescue stories. The show teaches children about animal behavior, development and habitat.",99,N/A,3,Y
2007,KHIZ,N/A,Los Angeles,3,Digital,Profiles In Caring,Non-Core,SYNDICATED,Wednesday's at 6AM,13,-1,30,12,16,"Profiles In Caring is a non-profit program, highlighting the extraordinary volunteer efforts of Americans. Each week an inspirational story is profiled, detailing the many lives changed through hard work, heart and community.",N/A,N/A,3,Y
2007,KHTV,N/A,Los Angeles,3.5,Analog,SUPER BOOK (SPANISH LANGUAGE),Core,SYNDICATED,M-F 7:30AM AND SUNDAYS AT 7:30AM,79,3,30,3,10,Super Book is a program specially designed for children under the ages of 16. It airs during core hours and teaches children moral values with stories.,0,N/A,N/A,N/A
2007,KHTV,N/A,Los Angeles,3.5,Analog,FLYING HOUSE (SPANISH LANGUAGE),Core,SYNDICATED,SUNDAYS AT 7AM,13,1,30,3,10,Flying House is an educational series designed for children ages 3-10. It has been uniquely produced to provided entertainment and education for the entire family by using intriguing characters that teach moral values with stories.,0,N/A,N/A,N/A
2007,KJLA,N/A,Los Angeles,3,Analog,CRITTER GITTERS,Core,SYNDICATED,SUNDAY 7:00 AM,13,0,30,9,14,"A search and rescue 911 themed animal adventure series with an entertaining twist of investigative and detective, super sleuthing, by a group neighborhood kids, a couple of veterinarians and zany professor. Action and stimulating story lines combined with kids? natural love and curiosity of animals. This program promotes and teaches teamwork, cooperation, problem solving, knowledge of animals and positive role models.",99,N/A,3,Y
